,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,winddirection_10m_dominant,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean
0,2019-12-31 17:00:00+00:00,3.0,28.710999,33.861,23.061,30.025675,34.99462,23.93276,1577833888,1577875300,41412.523,37835.363,0.0,0.0,0.0,0.0,18.278645,33.839996,45.265892,20.82,5.7991843,73.375,98.0,0.0,17.471416,20.811,14.911,5.7991843,52.461308,69.859474,32.821663,0.0,1014.23334,1016.4,1011.7,1013.5447,1015.709,1011.0241,45.265892,21.584997,11.330178,11.5199995,6.130579,21.304232,23.585321,19.008348,3.5272336,0.3481976,0.03924999,0.3879167,0.31500003,32.233208,33.631832,31.819336,33.186
1,2020-01-01 17:00:00+00:00,3.0,28.558916,33.810997,22.861,30.791574,36.17004,24.787424,1577920313,1577961733,41421.324,37134.695,0.0,0.0,0.0,0.0,15.978486,30.239998,47.103813,18.64,4.9213877,75.083336,98.0,0.0,18.8985,21.811,17.861,4.9213877,57.31566,74.133865,39.324417,0.0,1014.61676,1017.1,1011.4,1013.9275,1016.40814,1010.72504,47.103813,18.359999,8.889919,10.08,0.71999997,22.036858,24.23867,19.49852,3.19162,0.3484063,0.039874997,0.3880001,0.31550002,32.269398,33.82559,31.871416,33.115166
2,2020-01-02 17:00:00+00:00,3.0,28.373499,33.560997,23.061,31.144287,35.9883,24.571526,1578006737,1578048167,41430.9,36719.746,0.0,0.0,0.0,0.0,14.05845,27.72,58.686558,18.72,4.624831,76.291664,98.0,13.0,19.408918,21.361,17.111,4.624831,60.150402,78.898506,37.678307,0.0,1013.44995,1015.9,1010.8,1012.7614,1015.20764,1010.1247,58.686558,16.14,7.066002,6.8399997,2.5959969,22.298601,23.394375,19.444923,3.2330232,0.34810293,0.03891666,0.3880001,0.31437507,32.43419,34.45475,31.958916,33.390167
3,2020-01-03 17:00:00+00:00,3.0,27.735998,33.411,23.461,30.91957,35.472095,26.460833,1578093160,1578134600,41441.23,35979.574,0.0,0.0,0.0,0.0,12.7279215,23.4,109.02573,16.95,4.0546336,78.291664,99.0,1.0,20.258917,21.561,18.311,4.0546336,65.453545,84.61278,40.85079,0.0,1011.82916,1014.3,1008.9,1011.13995,1013.6075,1008.2238,109.02573,14.909999,6.299955,9.36,1.609969,22.589853,23.48462,21.017927,3.0425816,0.34814465,0.04170833,0.38775003,0.31450006,32.430042,33.777664,32.021404,33.381832
4,2020-01-04 17:00:00+00:00,3.0,27.523499,32.961,22.761,30.318407,35.937473,26.480667,1578179583,1578221034,41452.3,37968.945,0.0,0.0,0.0,0.0,14.707222,24.119999,114.83514,21.11,4.7474766,47.708332,82.0,0.0,18.650583,21.761,15.561001,4.7474766,61.630146,89.04502,38.407726,0.0,1011.78754,1013.9,1009.6,1011.09796,1013.20807,1008.9237,114.83514,14.325,5.4527535,3.2399998,1.08,21.638815,22.62891,20.192303,3.0739217,0.3471816,0.040166657,0.38700005,0.31300008,32.509228,34.308918,32.079754,33.381832
5,2020-01-05 17:00:00+00:00,3.0,27.700583,33.961,21.911001,30.228745,35.823376,24.696257,1578266005,1578307468,41464.09,37385.836,0.0,0.0,0.0,0.0,15.1884165,28.8,56.164837,19.4,4.8774376,73.041664,97.0,8.0,19.250582,20.761,16.861,4.8774376,63.050564,88.155525,36.557716,0.0,1012.07074,1014.6,1009.5,1011.38153,1013.9095,1008.82556,56.164837,17.939999,8.080928,4.32,1.2979984,22.000578,22.924603,20.415133,3.3624883,0.34688577,0.038958322,0.38679168,0.3127083,32.504745,33.71725,32.14017,33.350586
6,2020-01-06 17:00:00+00:00,51.0,28.933916,34.310997,24.211,32.014732,37.62224,28.51897,1578352426,1578393901,41476.594,37085.98,0.3,0.3,0.0,2.0,14.529915,25.56,98.5541,19.47,4.8949504,69.916664,100.0,3.0,20.071415,21.611,18.311,4.8949504,60.78836,85.43059,39.337513,0.0,1010.9917,1013.2,1008.4,1010.3057,1012.5165,1007.7273,98.5541,16.065,7.314142,4.32,2.7416782,22.887108,23.80973,22.176666,3.2808194,0.34786797,0.040541667,0.38762498,0.31400004,32.650524,34.71308,32.188084,33.548496
7,2020-01-07 17:00:00+00:00,3.0,29.654753,35.411,25.161001,32.488995,37.533993,28.681545,1578438846,1578480334,41489.78,37272.484,0.0,0.0,0.0,0.0,12.879752,29.88,91.13603,18.35,4.9070826,81.75,99.0,24.0,19.929749,21.711,16.661001,4.9070826,57.88473,76.84991,33.632156,0.0,1010.6084,1013.4,1007.5,1009.9246,1012.71356,1006.83075,91.13603,17.43,8.263673,6.8399997,3.8268526,23.047037,23.962004,21.908064,3.783575,0.34955335,0.041708335,0.38920835,0.31620833,32.74781,34.642242,32.26932,33.756832
8,2020-01-08 17:00:00+00:00,51.0,28.890165,34.861,24.411001,32.54385,39.092255,29.00462,1578525265,1578566767,41503.645,37673.535,0.2,0.2,0.0,2.0,14.973576,27.359999,145.30475,20.52,5.043162,57.125,89.0,12.0,20.740164,22.611,18.061,5.043162,63.60754,88.90217,37.091408,0.0,1009.7043,1012.0,1007.5,1009.01935,1011.31165,1006.8279,145.30475,14.909999,6.224733,2.52,0.35999998,23.297632,24.68794,21.52173,3.5077093,0.3508321,0.044833343,0.3902916,0.31754163,32.81777,34.925587,32.32559,33.80266
9,2020-01-09 17:00:00+00:00,2.0,28.833916,34.211,24.561,31.408674,36.78604,27.92863,1578611683,1578653200,41518.156,37288.6,0.0,0.0,0.0,0.0,15.978486,26.64,80.38425,19.32,5.024006,31.625,73.0,3.0,19.608915,20.761,17.911001,5.024006,59.169666,78.434784,38.57728,0.0,1009.54987,1012.5,1006.7,1008.8648,1011.8109,1006.02783,80.38425,18.84,9.054862,7.92,3.0758414,22.564102,23.706045,21.627504,3.3036344,0.34958124,0.045124996,0.38899997,0.3159167,32.84181,34.217247,32.41934,33.83183
10,2020-01-10 17:00:00+00:00,51.0,27.931833,32.411,24.161001,31.199213,35.828815,27.882816,1578698099,1578739632,41533.312,36681.16,0.1,0.1,0.0,1.0,15.986593,26.64,205.73065,17.71,4.229126,94.541664,100.0,83.0,20.438082,22.711,18.311,4.229126,65.657555,87.81887,43.35032,0.0,1009.8584,1012.5,1007.9,1009.17114,1011.8093,1007.2236,205.73065,15.704999,6.824118,8.28,0.0,22.783144,23.807587,21.722717,2.7550197,0.35116705,0.047458332,0.39041653,0.31783345,32.785374,33.698494,32.46308,33.586
11,2020-01-11 17:00:00+00:00,51.0,27.254747,31.511,24.711,30.865572,34.454468,28.80045,1578784515,1578826063,41549.082,25714.594,0.9000001,0.9000001,0.0,9.0,17.58481,29.519999,142.14655,13.73,3.3466346,82.375,100.0,8.0,21.490166,22.661001,20.111,3.3466346,72.00948,87.5867,51.01452,0.0,1009.9749,1012.5,1007.8,1009.2861,1011.8109,1007.1224,142.14655,17.114998,7.1349072,7.92,1.484318,23.20331,23.987797,22.290287,2.257458,0.35185716,0.051958334,0.39079165,0.3183333,32.589622,32.27975,32.475582,33.083916
12,2020-01-12 17:00:00+00:00,3.0,27.273499,32.961,22.211,30.01995,35.31624,26.18852,1578870929,1578912494,41565.453,37996.98,0.0,0.0,0.0,0.0,17.31746,28.44,77.43655,21.31,4.979896,43.875,98.0,1.0,19.275583,22.111,15.311001,4.979896,65.66328,97.29296,34.63501,0.0,1009.82904,1012.3,1007.6,1009.1404,1011.6095,1006.92505,77.43655,16.755,7.821619,3.6,2.16,21.96086,22.638556,21.327599,3.2793617,0.35176337,0.049958333,0.39091662,0.318125,32.515026,32.99433,32.427673,32.654743
13,2020-01-13 17:00:00+00:00,3.0,27.036001,33.361,22.261,29.25294,35.75797,25.61797,1578957342,1578998924,41582.418,38322.7,0.0,0.0,0.0,0.0,21.461555,37.44,117.833954,21.69,5.2320623,34.791668,95.0,0.0,18.402666,20.761,15.311001,5.2320623,62.302166,89.579315,33.86578,0.0,1010.99146,1013.6,1008.7,1010.30145,1012.90735,1008.0234,117.833954,18.0,8.614355,5.04,2.968636,21.304064,21.98869,20.527992,3.3931103,0.35154793,0.044416666,0.39108333,0.31837496,32.492706,33.188084,32.369335,32.683918
14,2020-01-14 17:00:00+00:00,3.0,27.008913,33.211,21.611,28.750076,35.368607,23.199265,1579043754,1579085353,41600.145,38425.133,0.0,0.0,0.0,0.0,17.114204,32.399998,105.92409,21.83,5.311828,53.875,99.0,0.0,17.404749,20.161001,14.861,5.311828,58.020023,76.78448,33.178078,0.0,1011.5083,1013.7,1009.4,1010.8178,1013.00635,1008.72485,105.92409,18.81,8.770955,7.2,3.8773184,20.66471,22.483158,18.611977,3.3998432,0.3510691,0.039416667,0.39120838,0.3173333,32.482494,33.35475,32.325573,32.729748
15,2020-01-15 17:00:00+00:00,2.0,27.844332,34.010998,22.211,30.621346,36.96077,25.43159,1579130165,1579171783,41618.69,38212.14,0.0,0.0,0.0,0.0,15.941944,26.64,120.46547,20.29,4.8688097,12.666667,75.0,0.0,19.411001,21.311,15.461,4.8688097,63.454266,89.002014,33.435913,0.0,1011.6292,1013.5,1009.2,1010.9405,1012.8147,1008.5261,120.46547,16.710001,7.605063,8.28,3.319036,22.167421,23.25959,20.818684,3.5203125,0.3502604,0.038041662,0.39058328,0.31608334,32.588894,34.07558,32.300575,33.08183
16,2020-01-16 17:00:00+00:00,3.0,27.925583,33.810997,23.461,30.99375,36.743305,27.54517,1579216575,1579258212,41638.027,37236.03,0.0,0.0,0.0,0.0,19.353138,34.2,111.54585,19.74,4.8902235,35.666668,100.0,0.0,20.179749,21.511,17.311,4.8902235,65.26157,86.9742,37.509148,0.0,1012.20416,1014.7,1009.6,1011.5152,1014.0085,1008.92523,111.54585,17.475,7.895555,1.8,1.2979984,22.625574,23.76703,21.455397,3.2872882,0.34955844,0.04095833,0.3897499,0.31462505,32.662,34.179752,32.31725,33.33808
17,2020-01-17 17:00:00+00:00,51.0,27.371416,32.260998,23.661001,30.352379,36.09467,27.237606,1579302985,1579344642,41658.11,36482.613,0.1,0.1,0.0,1.0,17.072504,27.72,141.7024,16.53,4.121811,40.875,100.0,1.0,20.194334,21.011,18.711,4.121811,66.30242,85.112946,44.827625,0.0,1011.92914,1014.3,1010.1,1011.2391,1013.6075,1009.4189,141.7024,16.08,7.494421,3.96,0.35999998,22.418741,23.539452,21.628607,2.6605113,0.35086706,0.046833336,0.39058328,0.31604168,32.63871,33.28183,32.363087,33.369335
18,2020-01-18 17:00:00+00:00,3.0,27.754751,33.760998,23.111,29.980446,36.391613,25.781725,1579389393,1579431071,41678.91,38146.99,0.0,0.0,0.0,0.0,16.79314,26.28,108.435036,20.66,5.093461,52.708332,99.0,0.0,18.477667,20.511,15.661,5.093461,59.333088,76.77451,37.491043,0.0,1012.2209,1014.8,1010.1,1011.53143,1014.10815,1009.4252,108.435036,18.000002,8.3892145,6.4799995,2.8799999,21.5514,23.04994,20.02752,3.2788696,0.34872833,0.047708333,0.38849998,0.31270832,32.614723,33.452667,32.38184,33.133915
19,2020-01-19 17:00:00+00:00,3.0,28.13183,34.560997,23.361,30.733963,37.171967,27.034824,1579475801,1579517500,41700.4,38368.7,0.0,0.0,0.0,0.0,19.09358,32.399998,124.12007,21.52,5.439217,14.125,95.0,0.0,19.392252,21.411001,15.311001,5.439217,61.993225,85.87094,32.025658,0.0,1012.73334,1014.6,1010.6,1012.0446,1013.9057,1009.92676,124.12007,18.929996,8.983457,3.2399998,1.1384199,22.239725,23.453753,20.969524,3.7197554,0.34826335,0.043583333,0.3882917,0.31258324,32.68467,34.221416,32.386005,33.196415
20,2020-01-20 17:00:00+00:00,3.0,28.700584,35.060997,24.061,30.887487,37.81486,26.46564,1579562207,1579603929,41722.527,38398.152,0.0,0.0,0.0,0.0,19.191748,33.839996,112.95716,21.89,5.589105,25.916666,90.0,0.0,18.256834,19.111,16.611,5.589105,54.85348,72.72986,33.47112,0.0,1014.03754,1016.5,1011.0,1013.3491,1015.814,1010.32587,112.95716,17.835,8.138391,7.2,3.96,21.724419,23.35933,20.33809,3.751192,0.34784627,0.041250005,0.3880001,0.31237495,32.84454,34.996414,32.417255,33.59225
21,2020-01-21 17:00:00+00:00,3.0,28.629753,34.911,23.611,30.771301,38.157936,26.187864,1579648613,1579690357,41745.27,38483.105,0.0,0.0,0.0,0.0,20.393293,34.2,120.79979,20.39,5.5165615,31.458334,98.0,0.0,19.004751,20.411001,16.711,5.5165615,58.102505,78.648445,34.154453,0.0,1013.0249,1015.5,1010.0,1012.337,1014.81494,1009.326,120.79979,20.699999,10.317647,10.440001,5.8603754,22.142006,23.606495,20.670158,3.6616864,0.34746382,0.03925,0.38783345,0.3117916,32.9045,34.7485,32.46933,33.781834
22,2020-01-22 17:00:00+00:00,3.0,28.458916,34.711,24.161001,29.792204,36.826748,25.584906,1579735018,1579776785,41768.59,38549.156,0.0,0.0,0.0,0.0,19.95972,36.36,112.44281,19.88,5.7477236,16.666666,81.0,0.0,17.877666,19.361,15.661,5.7477236,54.40877,67.0339,32.935066,0.0,1012.1416,1014.5,1009.5,1011.4541,1013.81146,1008.8273,112.44281,22.529999,11.927217,12.24,6.151683,21.430891,23.179836,19.62885,3.6309648,0.34686378,0.037749995,0.3872917,0.31129158,32.89052,34.175583,32.521404,33.72766
23,2020-01-23 17:00:00+00:00,3.0,28.186003,35.560997,22.861,29.225693,36.46388,24.043915,1579821422,1579863213,41792.46,38485.086,0.0,0.0,0.0,0.0,23.990698,41.039997,126.64052,22.11,6.2087073,73.458336,99.0,0.0,16.90475,20.461,11.511001,6.2087073,53.54652,73.1735,23.394678,0.0,1011.9041,1014.4,1009.3,1011.21606,1013.7119,1008.62354,126.64052,22.965002,12.225093,7.2,5.495161,20.836084,22.67661,18.656322,4.4414096,0.34530044,0.038541663,0.38583335,0.3085833,32.827145,33.675583,32.560993,33.456833
24,2020-01-24 17:00:00+00:00,3.0,27.508917,32.961,23.761,29.677752,35.116703,25.91016,1579907824,1579949640,41816.844,38141.477,0.0,0.0,0.0,0.0,19.694992,34.92,145.18729,18.57,5.0226164,58.958332,97.0,0.0,20.248499,22.711,18.661001,5.0226164,66.3247,86.82402,43.187424,0.0,1010.8833,1012.8,1008.5,1010.19434,1012.1167,1007.82214,145.18729,24.180002,13.510723,13.679999,8.404285,22.508902,23.726057,20.54715,2.8407443,0.34626126,0.040499996,0.38662502,0.30979165,32.707645,32.494335,32.57974,33.217247
25,2020-01-25 17:00:00+00:00,3.0,27.408915,34.010998,22.911001,30.710503,37.262035,27.345078,1579994226,1580036067,41841.71,38541.363,0.0,0.0,0.0,0.0,20.966715,38.16,138.6497,21.54,5.112215,58.5,91.0,1.0,21.148499,22.811,17.611,5.112215,72.10868,97.30698,37.801636,0.0,1010.42084,1012.9,1007.1,1009.7319,1012.21045,1006.42377,138.6497,20.655,10.308884,8.64,5.0142193,23.127268,24.054064,22.160156,3.308475,0.34525633,0.039874997,0.3856667,0.30850002,32.75446,33.90058,32.550575,33.071415
