weather_code,temperature_2m_mean,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,precipitation_hours,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,cloud_cover_mean,dew_point_2m_mean,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,pressure_msl_mean,surface_pressure_mean,winddirection_10m_dominant,wind_gusts_10m_mean,wind_speed_10m_mean,wet_bulb_temperature_2m_mean,vapour_pressure_deficit_max,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean,month,year
61,26.136503,31.20154,41410.133,37128.84,3.6000001,3.6000001,5.0,68.198524,18.4,3.7644882,68.833336,22.921919,3.7644882,83.78655,1009.35004,1008.65894,68.198524,15.285001,4.139157,23.828972,1.7540023,0.3939675,0.22487499,0.4189168,0.3647916,26.636873,28.480247,26.173998,27.609415,12,1999
51,26.232336,31.003428,41418.68,37241.055,0.1,0.1,1.0,74.1198,18.53,3.7663896,72.875,22.476082,3.7663896,81.21357,1009.24164,1008.5508,74.1198,12.09,4.135929,23.552729,1.8040831,0.3931171,0.23845835,0.41737497,0.36150002,26.854609,28.459417,26.407333,27.853167,1,2000
51,26.351084,31.114206,41428.082,36275.39,0.1,0.1,1.0,101.0295,18.16,3.740827,66.208336,22.674002,3.740827,81.6253,1008.99176,1008.3013,101.0295,14.804999,4.805596,23.72155,1.7422357,0.3900179,0.22366667,0.41554162,0.3579583,27.014732,28.484415,26.611502,27.907333,1,2000
53,26.736498,31.851967,41438.312,37407.688,0.7,0.7,1.0,95.30726,18.6,3.8168383,62.666668,23.063583,3.8168383,81.24676,1009.05835,1008.36884,95.30726,14.73,4.2156835,24.075874,1.7023673,0.38771832,0.21795833,0.413875,0.35462502,27.220648,28.882334,26.801086,28.10525,1,2000
53,26.4365,31.569542,41449.35,36578.19,1.4000001,1.4000001,2.0,137.10553,18.1,3.753425,62.041668,23.071915,3.753425,83.17376,1009.91254,1009.22174,137.10553,12.749999,4.03018,24.029022,1.7666004,0.38667503,0.22537506,0.4124584,0.3520416,27.413689,28.936495,26.988577,28.363586,1,2000
55,26.184418,30.90856,41461.18,36998.35,1.8000001,1.8000001,5.0,124.06095,18.36,3.7454305,64.5,22.728165,3.7454305,82.54278,1010.0999,1009.4085,124.06095,13.875,5.220929,23.70358,1.8040831,0.38549748,0.23249997,0.41075003,0.34991667,27.494123,28.6615,27.153166,28.273996,1,2000
53,26.013582,30.892485,41473.777,37178.914,0.7,0.7,2.0,126.2826,16.34,3.3449402,77.0,22.892746,3.3449402,83.841545,1010.49994,1009.80786,126.2826,13.1849985,4.3945045,23.755976,1.6828144,0.385283,0.24641664,0.40950003,0.34854165,27.55494,28.417753,27.284409,28.194834,1,2000
3,25.921915,30.04863,41487.113,36000.0,0.0,0.0,0.0,107.10278,15.67,3.3842936,95.125,22.051085,3.3842936,80.71073,1010.425,1009.7327,107.10278,14.325001,6.0224853,23.176878,1.7673261,0.3833971,0.23670828,0.40824994,0.34708342,27.553732,27.971914,27.384415,27.994833,1,2000
3,25.801085,29.469046,41501.17,33961.72,0.0,0.0,0.0,128.30464,19.77,4.212404,84.375,20.723999,4.212404,74.89222,1010.4041,1009.7115,128.30464,13.605,5.742643,22.227728,2.0452542,0.3802079,0.21466671,0.4065834,0.34495828,27.58098,28.221916,27.43442,27.869833,1,2000
3,26.61358,30.417067,41515.92,37770.67,0.0,0.0,0.0,105.642334,20.01,4.2920084,88.25,21.271915,4.2920084,74.26897,1009.79175,1009.1014,105.642334,15.120002,6.6429954,22.868803,2.2820764,0.37703338,0.1923333,0.40520844,0.342,27.706167,28.734419,27.48858,28.109413,1,2000
51,27.059416,30.49421,41531.348,36163.562,0.1,0.1,1.0,104.03627,17.93,4.161742,75.625,21.48025,4.161742,72.66089,1009.5457,1008.85675,104.03627,22.53,9.281435,23.118195,2.1590514,0.37409785,0.17641665,0.4035416,0.33904156,27.85392,28.89692,27.584425,28.430252,1,2000
51,26.811502,30.306623,41547.426,38082.02,0.1,0.1,1.0,124.00379,20.7,4.5661817,5.2916665,21.438583,4.5661817,74.16531,1009.51666,1008.82697,124.00379,19.53,9.464644,23.041191,2.2617087,0.37185454,0.16620836,0.4022083,0.3363333,27.987688,29.41775,27.674002,28.5865,1,2000
3,26.43025,30.606787,41564.133,37572.645,0.0,0.0,0.0,137.3731,19.03,4.063401,52.416668,22.117746,4.063401,78.83086,1008.9207,1008.23065,137.3731,15.48,6.9433784,23.373077,2.0724752,0.36953536,0.15879165,0.40058327,0.3333333,28.14669,29.78025,27.778158,28.865662,1,2000
51,26.276083,30.379522,41581.445,37272.535,0.3,0.3,2.0,137.53148,16.93,3.655678,30.625,21.861498,3.655678,78.431435,1008.57916,1007.8889,137.53148,13.634999,5.7904687,23.167412,2.0430474,0.3679671,0.15495834,0.39945844,0.33099997,28.252958,29.632334,27.892748,29.028168,1,2000
51,26.734419,30.711935,41599.34,37853.24,0.3,0.3,2.0,132.78235,17.57,3.8261087,27.166666,21.726084,3.8261087,75.87638,1009.26245,1008.57294,132.78235,15.209998,6.3563905,23.2195,2.2401245,0.36604834,0.15133333,0.39787495,0.32850006,28.373795,29.884415,27.998995,29.15525,1,2000
3,26.861498,30.886711,41617.797,38102.516,0.0,0.0,0.0,128.53593,19.96,4.333999,45.708332,21.559418,4.333999,74.76111,1010.04175,1009.35156,128.53593,14.639999,6.2245326,23.147781,2.3526304,0.36421633,0.14612503,0.39654163,0.32608327,28.544937,30.5365,28.105253,29.388586,1,2000
51,27.155245,31.282309,41636.793,38231.99,0.2,0.2,2.0,124.718666,19.13,4.163548,55.208332,21.751083,4.163548,74.10111,1010.08746,1009.39825,124.718666,14.145,5.7918754,23.357042,2.3647356,0.36274338,0.14345832,0.395375,0.3239583,28.74305,30.790667,28.24691,29.7615,1,2000
61,26.403168,30.607384,41656.31,36664.805,3.7000003,3.7000003,7.0,130.5153,17.1,3.617606,94.083336,22.1615,3.617606,78.53222,1011.25,1010.55817,130.5153,16.109999,6.229374,23.367876,2.1061025,0.36222836,0.15858336,0.3938333,0.32175004,28.80781,30.105246,28.3865,29.81983,1,2000
51,26.149,29.88565,41676.324,37145.414,0.1,0.1,1.0,115.699135,18.62,4.0082493,81.0,21.038584,4.0082493,74.845695,1011.4876,1010.7951,115.699135,14.8949995,5.989371,22.572332,1.9726698,0.3623792,0.17679167,0.3926251,0.32054177,28.717962,29.282333,28.48025,29.344831,1,2000
3,26.451082,29.30134,41697.04,37281.832,0.0,0.0,0.0,105.302505,17.63,3.9158046,66.5,19.363585,3.9158046,66.51548,1011.73737,1011.0456,105.302505,13.605,5.8724723,21.611837,2.3879654,0.36019042,0.16141663,0.3915416,0.31895825,28.69427,29.313583,28.513578,29.10733,1,2000
3,25.903166,28.915472,41718.523,38583.703,0.0,0.0,0.0,115.426834,22.03,4.563545,74.75,18.826082,4.563545,67.46857,1013.1499,1012.4558,115.426834,12.945,4.657697,21.143425,2.5915146,0.35794666,0.14754169,0.3903333,0.31704167,28.737442,29.7865,28.528158,29.105247,1,2000
3,25.686499,28.402662,41740.74,36473.473,0.0,0.0,0.0,313.7547,18.23,3.8297448,98.208336,18.603165,3.8297448,66.83027,1011.88745,1011.19354,313.7547,12.134999,4.3015122,20.900099,2.2829247,0.35565796,0.13841666,0.38862506,0.31504172,28.719421,29.334414,28.553156,29.084417,1,2000
53,26.007332,29.842567,41763.652,35948.402,0.8,0.8,2.0,79.909,16.89,3.6725607,71.375,21.413584,3.6725607,77.767914,1010.97504,1010.2824,79.909,13.874999,6.013577,22.792738,2.2880976,0.3547875,0.14225,0.38754168,0.3133334,28.818064,29.886497,28.578165,29.284416,1,2000
3,27.028166,30.93036,41787.223,36604.625,0.0,0.0,0.0,88.88402,18.58,4.27517,80.166664,21.915665,4.27517,75.34159,1011.16656,1010.4765,88.88402,20.94,7.9679484,23.429474,2.0680223,0.35448083,0.15370834,0.38650003,0.31162494,28.911713,30.069838,28.63025,29.490664,1,2000
3,27.040667,29.997202,41811.42,38232.777,0.0,0.0,0.0,94.53088,18.6,4.484572,79.791664,20.378168,4.484572,69.296135,1011.65826,1010.96783,94.53088,17.175,8.82566,22.460434,2.7948318,0.3528938,0.14500003,0.38545844,0.3105416,28.95088,30.05525,28.678171,29.517752,1,2000
51,27.009417,29.771502,41836.207,37308.69,0.2,0.2,1.0,60.129436,19.36,4.478763,77.958336,19.482332,4.478763,65.01774,1012.1208,1011.42975,60.129436,17.144999,7.2708554,21.862696,2.5349007,0.35116246,0.13774998,0.38420832,0.30900002,29.014772,30.144835,28.73025,29.61358,1,2000
51,26.369835,28.808334,41861.543,35549.46,0.1,0.1,1.0,41.72093,16.77,3.8933847,66.875,18.569836,3.8933847,63.401566,1012.2083,1011.51587,41.72093,14.474999,5.8126793,21.094799,2.3034692,0.34951004,0.13450001,0.38266662,0.3075001,28.990274,29.619833,28.773993,29.521917,1,2000
3,26.092749,27.426947,41887.395,37662.105,0.0,0.0,0.0,26.250252,21.54,5.0482044,89.708336,15.946916,5.0482044,55.03815,1012.7959,1012.1023,26.250252,17.759998,7.5368876,19.516436,2.8565974,0.34817004,0.13087502,0.3815833,0.30604157,28.996437,29.936499,28.790657,29.388582,1,2000
3,26.244833,28.428091,41913.734,38538.438,0.0,0.0,0.0,42.397377,19.62,4.3332763,89.416664,17.36775,4.3332763,59.438457,1013.3083,1012.6148,42.397377,12.599999,4.966073,20.349,2.6928225,0.34675416,0.12629169,0.38050005,0.30454165,29.09923,30.44692,28.82608,29.586494,1,2000
3,27.069834,29.314337,41940.523,37354.516,0.0,0.0,0.0,40.577816,19.24,4.4369793,86.833336,17.740665,4.4369793,57.95425,1014.1084,1013.4162,40.577816,13.275002,5.54787,20.871027,2.781106,0.34533706,0.12370833,0.37920842,0.30308333,29.296295,31.128174,28.8865,30.090666,1,2000
3,26.48233,27.75706,41967.73,34766.457,0.0,0.0,0.0,3.0127192,16.61,3.9762592,78.125,15.767749,3.9762592,52.218647,1013.9958,1013.3024,3.0127192,14.444999,5.4153805,19.547674,2.6119366,0.3439088,0.12212502,0.37779155,0.3016667,29.272232,30.028166,28.973999,30.04275,1,2000
3,26.1365,27.630232,41995.316,36634.363,0.0,0.0,0.0,7.7182274,19.19,4.591739,55.166668,16.428167,4.591739,56.30824,1013.0291,1012.33563,7.7182274,16.185,6.9015613,19.78802,2.8946612,0.34271586,0.12045833,0.37662503,0.3005418,29.240334,30.188583,29.005247,29.73025,1,2000
3,26.384417,28.236895,42023.254,38904.71,0.0,0.0,0.0,354.40073,21.73,4.8656855,48.916668,16.751081,4.8656855,56.88408,1013.071,1012.37787,354.40073,15.405,6.065378,20.068485,2.726458,0.34161505,0.11900001,0.37554166,0.2994999,29.37367,30.934416,29.03649,30.009415,2,2000
